Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
65	10:51:53	10:51:53	10:51:53	10:51:53	10:51:53	10:51:53			10:51:53	10:51:53	10:51:54	10:51:54	10:51:54	10:51:54	10:51:54	10:51:54			10:51:55	10:51:55		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
66	10:51:55	10:51:55	10:51:55	10:51:55	10:51:56	10:51:56			10:51:56	10:51:56	10:51:57	10:51:57	10:51:57	10:51:57	10:51:57	10:51:57			10:51:58	10:51:58		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
67	10:51:58	10:51:58	10:51:58	10:51:58	10:51:58	10:51:58			10:51:58	10:51:58	10:51:59	10:51:59	10:51:59	10:51:59	10:51:59	10:51:59			10:52:00	10:52:00		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
68	10:52:00	10:52:00	10:52:00	10:52:00	10:52:00	10:52:00			10:52:00	10:52:00	10:52:01	10:52:01	10:52:01	10:52:01	10:52:02	10:52:02			10:52:02	10:52:02		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
69	10:52:03	10:52:03	10:52:03	10:52:03	10:52:03	10:52:03			10:52:03	10:52:03	10:52:04	10:52:04	10:52:04	10:52:04	10:52:04	10:52:04			10:52:05	10:52:05		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
70	10:52:05	10:52:05	10:52:05	10:52:05	10:52:05	10:52:05	10:52:05	10:52:05	10:52:05	10:52:05	10:52:07	10:52:07	10:52:07	10:52:07	10:52:07	10:52:07	10:52:07	10:52:07	10:52:08	10:52:08		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
71	10:52:08	10:52:08	10:52:08	10:52:08	10:52:08	10:52:08			10:52:08	10:52:08	10:52:10	10:52:10	10:52:10	10:52:10	10:52:10	10:52:10			10:52:10	10:52:10		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
72	10:52:11	10:52:11	10:52:11	10:52:11	10:52:11	10:52:11			10:52:11	10:52:11	10:52:12	10:52:12	10:52:12	10:52:12	10:52:12	10:52:12			10:52:13	10:52:13		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
73	10:52:13	10:52:13	10:52:13	10:52:13	10:52:13	10:52:13			10:52:13	10:52:13	10:52:14	10:52:14	10:52:14	10:52:14	10:52:14	10:52:14			10:52:15	10:52:15		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
74	10:52:16	10:52:16	10:52:16	10:52:16	10:52:16	10:52:16			10:52:16	10:52:16	10:52:17	10:52:17	10:52:17	10:52:17	10:52:17	10:52:17			10:52:18	10:52:18		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
75	10:52:18	10:52:18	10:52:18	10:52:18	10:52:18	10:52:18			10:52:18	10:52:18	10:52:19	10:52:19	10:52:19	10:52:19	10:52:19	10:52:19			10:52:20	10:52:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
76	10:52:20	10:52:20	10:52:20	10:52:20	10:52:20	10:52:20			10:52:20	10:52:20	10:52:21	10:52:21	10:52:21	10:52:21	10:52:21	10:52:21			10:52:22	10:52:22		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
77	10:52:23	10:52:23	10:52:23	10:52:23	10:52:23	10:52:23			10:52:23	10:52:23	10:52:24	10:52:24	10:52:24	10:52:24	10:52:24	10:52:24			10:52:25	10:52:25		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
78	10:52:25	10:52:25	10:52:25	10:52:25	10:52:25	10:52:25			10:52:25	10:52:25	10:52:26	10:52:26	10:52:26	10:52:26	10:52:26	10:52:26			10:52:27	10:52:27		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
79	10:52:27	10:52:27	10:52:27	10:52:27	10:52:27	10:52:27			10:52:27	10:52:27	10:52:29	10:52:29	10:52:29	10:52:29	10:52:29	10:52:29			10:52:29	10:52:29		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
80	10:52:30	10:52:30	10:52:30	10:52:30	10:52:30	10:52:30	10:52:30	10:52:30	10:52:30	10:52:30	10:52:31	10:52:31	10:52:31	10:52:31	10:52:31	10:52:31	10:52:31	10:52:31	10:52:33	10:52:33		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
81	10:52:33	10:52:33	10:52:33	10:52:33	10:52:34	10:52:34			10:52:34	10:52:34	10:52:35	10:52:35	10:52:35	10:52:35	10:52:35	10:52:35			10:52:36	10:52:36		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
82	10:52:36	10:52:36	10:52:36	10:52:36	10:52:36	10:52:36			10:52:36	10:52:36	10:52:37	10:52:37	10:52:37	10:52:37	10:52:37	10:52:37			10:52:38	10:52:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
83	10:52:39	10:52:39	10:52:39	10:52:39	10:52:39	10:52:39			10:52:39	10:52:39	10:52:40	10:52:40	10:52:40	10:52:40	10:52:40	10:52:40			10:52:41	10:52:41		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
